datetime,skin_temp,air_temp,heartrate,steps,gsr,calories,act_type,sleep_type,toss_turn
2016-01-05 00:00:00,87.8,81.5,62.0,0.0,0.000205,1.4,,light,
2016-01-05 00:01:00,88.7,82.4,61.0,0.0,0.000214,1.4,,light,
2016-01-05 00:02:00,88.7,82.4,62.0,0.0,0.000221,1.4,,light,
2016-01-05 00:03:00,88.7,82.4,61.0,0.0,0.000234,1.5,,light,
2016-01-05 00:04:00,88.7,82.4,59.0,0.0,0.000243,1.4,,light,
2016-01-05 00:05:00,88.7,83.3,59.0,0.0,0.000254,1.5,,light,
2016-01-05 00:06:00,89.6,83.3,60.0,0.0,0.000267,1.4,,light,
2016-01-05 00:07:00,89.6,83.3,64.0,0.0,0.000277,1.5,,light,
2016-01-05 00:08:00,89.6,84.2,58.0,0.0,0.000268,1.4,,rem,toss_and_turn
2016-01-05 00:09:00,89.6,86.9,59.0,0.0,0.000277,1.5,,rem,
2016-01-05 00:10:00,90.5,87.8,60.0,0.0,0.000293,1.4,,rem,
2016-01-05 00:11:00,91.4,89.6,58.0,0.0,0.000319,1.4,,rem,
2016-01-05 00:12:00,92.3,90.5,58.0,0.0,0.000331,1.5,,rem,
2016-01-05 00:13:00,92.3,91.4,55.0,0.0,0.000182,1.4,,rem,toss_and_turn
2016-01-05 00:14:00,92.3,91.4,59.0,0.0,0.000216,1.5,,interruption,
2016-01-05 00:15:00,93.2,91.4,57.0,0.0,0.000212,1.4,,interruption,
2016-01-05 00:16:00,93.2,92.3,60.0,0.0,0.000216,1.4,,interruption,
2016-01-05 00:17:00,93.2,92.3,59.0,0.0,0.000131,1.5,,interruption,
2016-01-05 00:18:00,93.2,92.3,58.0,0.0,0.000196,1.4,,interruption,
2016-01-05 00:19:00,93.2,92.3,58.0,0.0,0.000202,1.5,,interruption,
2016-01-05 00:20:00,94.1,92.3,59.0,0.0,0.000206,1.4,,interruption,
2016-01-05 00:21:00,94.1,93.2,54.0,0.0,0.000179,1.4,,interruption,
2016-01-05 00:22:00,94.1,93.2,57.0,0.0,0.00017,1.5,,interruption,
2016-01-05 00:23:00,94.1,93.2,57.0,0.0,0.000184,1.4,,interruption,
2016-01-05 00:24:00,94.1,93.2,57.0,0.0,0.000194,1.5,,interruption,
2016-01-05 00:25:00,94.1,93.2,56.0,0.0,0.0002,1.4,,interruption,
2016-01-05 00:26:00,94.1,93.2,58.0,0.0,0.000206,1.4,,light,
2016-01-05 00:27:00,95.0,94.1,60.0,0.0,0.000197,1.5,,light,
2016-01-05 00:28:00,95.0,94.1,57.0,0.0,0.000197,1.4,,light,
2016-01-05 00:29:00,95.0,94.1,55.0,0.0,0.000187,1.5,,light,
2016-01-05 00:30:00,95.0,94.1,57.0,0.0,0.00014,1.4,,light,
2016-01-05 00:31:00,95.0,94.1,59.0,0.0,0.000176,1.4,,light,
2016-01-05 00:32:00,95.0,94.1,59.0,0.0,0.000189,1.5,,light,
2016-01-05 00:33:00,95.0,94.1,61.0,0.0,0.000176,1.4,,light,
2016-01-05 00:34:00,95.0,94.1,61.0,0.0,0.000184,1.5,,light,
2016-01-05 00:35:00,95.0,94.1,62.0,0.0,0.000186,1.4,,light,
2016-01-05 00:36:00,95.0,94.1,63.0,0.0,0.000188,1.4,,light,
2016-01-05 00:37:00,95.0,94.1,63.0,0.0,0.00019,1.5,,light,
2016-01-05 00:38:00,95.0,94.1,64.0,0.0,0.000195,1.4,,light,
2016-01-05 00:39:00,95.0,94.1,65.0,0.0,0.000202,1.5,,light,
2016-01-05 00:40:00,95.0,95.0,64.0,0.0,0.000227,1.4,,light,
2016-01-05 00:41:00,95.0,95.0,64.0,0.0,0.000308,1.4,,light,
2016-01-05 00:42:00,95.0,95.0,65.0,0.0,0.000545,1.5,,light,
2016-01-05 00:43:00,95.0,95.0,64.0,0.0,0.000835,1.4,,light,
2016-01-05 00:44:00,95.0,95.0,63.0,0.0,0.00116,1.5,,light,
2016-01-05 00:45:00,95.9,95.0,64.0,0.0,0.00236,1.4,,light,
2016-01-05 00:46:00,95.9,95.0,65.0,0.0,0.00356,1.4,,light,
2016-01-05 00:47:00,95.9,95.0,61.0,0.0,0.00475,1.5,,light,
2016-01-05 00:48:00,95.9,95.0,61.0,0.0,0.00844,1.4,,light,
2016-01-05 00:49:00,95.9,95.0,60.0,0.0,0.0124,1.5,,light,
2016-01-05 00:50:00,95.9,95.9,60.0,0.0,0.0109,1.4,,rem,
2016-01-05 00:51:00,95.9,95.9,61.0,0.0,0.0108,1.4,,rem,
2016-01-05 00:52:00,95.9,95.9,58.0,0.0,0.0103,1.5,,rem,
2016-01-05 00:53:00,95.9,95.9,60.0,0.0,0.0122,1.4,,rem,
2016-01-05 00:54:00,95.9,95.9,58.0,0.0,0.0147,1.5,,rem,
2016-01-05 00:55:00,95.9,95.9,68.0,0.0,0.0235,1.5,,rem,
2016-01-05 00:56:00,95.9,95.0,60.0,0.0,0.0131,1.4,,rem,toss_and_turn
2016-01-05 00:57:00,95.0,92.3,59.0,0.0,0.00499,1.5,,rem,
2016-01-05 00:58:00,94.1,90.5,62.0,0.0,0.00281,1.4,,rem,
2016-01-05 00:59:00,94.1,89.6,67.0,0.0,0.00164,1.5,,rem,
2016-01-05 01:00:00,93.2,88.7,70.0,0.0,0.000948,1.5,,rem,
2016-01-05 01:01:00,92.3,87.8,75.0,0.0,0.000619,1.6,,rem,
2016-01-05 01:02:00,92.3,87.8,72.0,0.0,0.000475,1.6,,rem,
2016-01-05 01:03:00,91.4,86.9,80.0,0.0,0.00037,1.9,,rem,
2016-01-05 01:04:00,91.4,86.0,74.0,0.0,0.000312,1.7,,rem,
2016-01-05 01:05:00,91.4,86.0,63.0,0.0,0.000382,1.4,,rem,toss_and_turn
2016-01-05 01:06:00,91.4,86.0,67.0,0.0,0.000589,1.5,,rem,toss_and_turn
2016-01-05 01:07:00,90.5,86.0,79.0,0.0,0.000589,1.4,,rem,
2016-01-05 01:08:00,90.5,86.9,72.0,0.0,0.000599,1.4,,rem,
2016-01-05 01:09:00,91.4,87.8,73.0,0.0,0.000633,1.5,,rem,
2016-01-05 01:10:00,91.4,87.8,71.0,0.0,0.000662,1.4,,rem,
2016-01-05 01:11:00,91.4,87.8,73.0,0.0,0.000699,1.5,,rem,
2016-01-05 01:12:00,91.4,88.7,65.0,0.0,0.000626,1.4,,rem,toss_and_turn
2016-01-05 01:13:00,92.3,90.5,67.0,0.0,0.000596,1.4,,rem,
2016-01-05 01:14:00,92.3,91.4,65.0,0.0,0.000703,1.5,,rem,
2016-01-05 01:15:00,93.2,91.4,68.0,0.0,0.00132,1.4,,rem,
2016-01-05 01:16:00,93.2,92.3,64.0,0.0,0.00134,1.5,,rem,
2016-01-05 01:17:00,93.2,92.3,67.0,0.0,0.00187,1.4,,rem,
2016-01-05 01:18:00,94.1,93.2,68.0,0.0,0.00206,1.4,,rem,
2016-01-05 01:19:00,94.1,93.2,70.0,0.0,0.00303,1.5,,light,
2016-01-05 01:20:00,94.1,92.3,59.0,0.0,0.00387,1.4,,light,toss_and_turn
2016-01-05 01:21:00,94.1,90.5,60.0,0.0,0.00319,1.5,,light,
2016-01-05 01:22:00,93.2,89.6,61.0,0.0,0.00352,1.4,,light,
2016-01-05 01:23:00,93.2,89.6,61.0,0.0,0.00276,1.4,,light,
2016-01-05 01:24:00,93.2,88.7,60.0,0.0,0.00219,1.5,,light,
2016-01-05 01:25:00,92.3,87.8,66.0,0.0,0.00126,1.4,,light,toss_and_turn
2016-01-05 01:26:00,91.4,86.9,69.0,0.0,0.00151,1.4,,light,
2016-01-05 01:27:00,91.4,86.0,62.0,0.0,0.0012,1.5,,light,
2016-01-05 01:28:00,90.5,86.0,60.0,0.0,0.000579,1.4,,light,
2016-01-05 01:29:00,90.5,86.0,63.0,0.0,0.000654,1.5,,light,
2016-01-05 01:30:00,90.5,86.0,62.0,0.0,0.000927,1.4,,light,
2016-01-05 01:31:00,90.5,86.0,56.0,0.0,0.00288,1.4,,light,
2016-01-05 01:32:00,90.5,86.9,58.0,0.0,0.00434,1.5,,light,toss_and_turn
2016-01-05 01:33:00,91.4,87.8,60.0,0.0,0.0105,1.4,,light,
2016-01-05 01:34:00,91.4,89.6,60.0,0.0,0.02,1.5,,light,
2016-01-05 01:35:00,92.3,90.5,59.0,0.0,0.0313,1.4,,light,
2016-01-05 01:36:00,92.3,90.5,60.0,0.0,0.0483,1.4,,light,
2016-01-05 01:37:00,92.3,91.4,61.0,0.0,0.0629,1.5,,light,
2016-01-05 01:38:00,93.2,91.4,59.0,0.0,0.127,1.4,,light,
