datetime,skin_temp,air_temp,heartrate,steps,gsr,calories,act_type,sleep_type,toss_turn
2016-05-11 00:00:00,93.2,90.5,85.0,0.0,0.000125,2.2,,,
2016-05-11 00:01:00,93.2,90.5,72.0,0.0,0.000131,1.6,,,
2016-05-11 00:02:00,93.2,90.5,74.0,0.0,0.000121,1.7,,,
2016-05-11 00:03:00,93.2,90.5,74.0,0.0,0.00012,1.7,,,
2016-05-11 00:04:00,93.2,89.6,79.0,0.0,0.00012,2.0,,,
2016-05-11 00:05:00,93.2,89.6,73.0,0.0,0.000119,1.7,,,
2016-05-11 00:06:00,93.2,89.6,68.0,9.0,0.000116,1.6,,,
2016-05-11 00:07:00,93.2,89.6,70.0,0.0,0.000124,1.5,,,
2016-05-11 00:08:00,93.2,89.6,74.0,8.0,0.000162,2.0,,,
2016-05-11 00:09:00,93.2,89.6,83.0,0.0,0.000216,2.3,,,
2016-05-11 00:10:00,93.2,89.6,82.0,0.0,0.000254,2.2,,,
2016-05-11 00:11:00,93.2,90.5,75.0,0.0,0.00043,1.8,,,
2016-05-11 00:12:00,93.2,90.5,81.0,0.0,0.000452,2.2,,,
2016-05-11 00:13:00,93.2,89.6,82.0,0.0,0.000442,2.1,,,
2016-05-11 00:14:00,93.2,89.6,85.0,6.0,0.000439,2.5,,,
2016-05-11 00:15:00,93.2,89.6,92.0,0.0,0.000616,3.0,,,
2016-05-11 00:16:00,93.2,88.7,75.0,0.0,0.000545,1.7,,,
2016-05-11 00:17:00,92.3,88.7,80.0,0.0,0.000406,2.0,,,
2016-05-11 00:18:00,92.3,87.8,86.0,0.0,0.000261,2.5,,,
2016-05-11 00:19:00,92.3,86.9,104.0,0.0,0.000208,5.1,,,
2016-05-11 00:20:00,91.4,87.8,94.0,10.0,0.00014,3.0,,,
2016-05-11 00:21:00,91.4,87.8,96.0,0.0,0.000156,3.2,,,
2016-05-11 00:22:00,91.4,87.8,93.0,0.0,0.000204,3.2,,,
2016-05-11 00:23:00,91.4,88.7,78.0,0.0,0.000205,2.3,,,
2016-05-11 00:24:00,91.4,88.7,73.0,0.0,0.00027,1.7,,,
2016-05-11 00:25:00,91.4,87.8,67.0,0.0,0.000368,1.5,,,
2016-05-11 00:26:00,91.4,88.7,63.0,0.0,0.000589,1.4,,,
2016-05-11 00:27:00,92.3,88.7,61.0,0.0,0.000491,1.4,,,
2016-05-11 00:28:00,92.3,88.7,61.0,0.0,0.000374,1.5,,,
2016-05-11 00:29:00,92.3,88.7,64.0,0.0,0.000326,1.4,,,
2016-05-11 00:30:00,92.3,88.7,66.0,0.0,0.000288,1.5,,,
2016-05-11 00:31:00,92.3,88.7,69.0,0.0,0.000267,1.5,,,
2016-05-11 00:32:00,92.3,88.7,64.0,0.0,0.000271,1.4,,,
2016-05-11 00:33:00,92.3,88.7,64.0,0.0,0.000307,1.4,,,
2016-05-11 00:34:00,92.3,88.7,70.0,0.0,0.000298,1.7,,,
2016-05-11 00:35:00,92.3,88.7,72.0,0.0,0.000303,1.8,,,
2016-05-11 00:36:00,92.3,88.7,98.0,0.0,0.000352,3.3,,,
2016-05-11 00:37:00,92.3,89.6,77.0,0.0,0.000688,2.0,,,
2016-05-11 00:38:00,93.2,89.6,87.0,0.0,0.00113,2.6,,,
2016-05-11 00:39:00,93.2,89.6,88.0,0.0,0.000354,3.2,,,
2016-05-11 00:40:00,93.2,89.6,67.0,10.0,0.00226,1.6,,,
2016-05-11 00:41:00,93.2,89.6,80.0,0.0,0.00402,2.4,,,
2016-05-11 00:42:00,93.2,89.6,93.0,0.0,0.00378,3.0,,,
2016-05-11 00:43:00,92.3,89.6,97.0,0.0,0.00138,4.0,,,
2016-05-11 00:44:00,92.3,89.6,83.0,0.0,0.00229,2.1,,,
2016-05-11 00:45:00,92.3,89.6,87.0,0.0,0.00179,2.4,,,
2016-05-11 00:46:00,92.3,89.6,100.0,12.0,0.000389,5.0,,,
2016-05-11 00:47:00,92.3,89.6,85.0,0.0,0.000554,2.7,,,
2016-05-11 00:48:00,92.3,89.6,73.0,0.0,0.00053,1.7,,,
2016-05-11 00:49:00,92.3,89.6,70.0,0.0,0.000406,1.9,,,
2016-05-11 00:50:00,92.3,88.7,92.0,19.0,0.000378,3.0,,,
2016-05-11 00:51:00,92.3,88.7,88.0,0.0,0.000335,2.6,,,
2016-05-11 00:52:00,91.4,87.8,78.0,0.0,0.00025,1.9,,,
2016-05-11 00:53:00,91.4,87.8,80.0,0.0,0.000226,2.5,,,
2016-05-11 00:54:00,91.4,87.8,79.0,0.0,0.00021,2.1,,,
2016-05-11 00:55:00,91.4,86.9,82.0,0.0,0.000238,2.3,,,
2016-05-11 00:56:00,91.4,87.8,83.0,0.0,0.000521,2.5,,,
2016-05-11 00:57:00,92.3,90.5,83.0,0.0,6.58,2.2,,,
2016-05-11 00:58:00,93.2,91.4,86.0,0.0,6.33,2.5,,,
2016-05-11 00:59:00,93.2,91.4,87.0,0.0,3.24,2.7,,,
2016-05-11 01:00:00,93.2,92.3,81.0,0.0,8.25,2.2,,,
2016-05-11 01:01:00,95.0,93.2,88.0,26.0,4.09,3.3,,,
